Year,Month,Observed,Simulated
2005,Jan,24.58,25.32
2005,Feb,26.32,27.11
2005,Mar,25.75,26.22
2005,Apr,27.04,27.85
2005,May,24.91,24.58
2005,Jun,23.88,22.97
2005,Jul,26.43,27.51
2005,Aug,27.22,26.88
2005,Sep,25.11,24.97
2005,Oct,23.79,24.21
2005,Nov,24.55,23.82
2005,Dec,26.12,26.98
2006,Jan,24.91,24.75
2006,Feb,25.33,26.02
2006,Mar,26.72,27.31
2006,Apr,27.88,28.02
2006,May,24.67,25.21
2006,Jun,23.99,23.75
2006,Jul,26.12,26.44
2006,Aug,27.01,26.72
2006,Sep,25.23,24.87
2006,Oct,24.11,24.35
2006,Nov,24.72,24.01
2006,Dec,26.41,26.99
2007,Jan,25.22,25.97
2007,Feb,26.54,27.12
2007,Mar,25.82,26.64
2007,Apr,27.43,28.03
2007,May,24.95,24.82
2007,Jun,23.78,23.41
2007,Jul,26.72,27.18
2007,Aug,27.32,27.05
2007,Sep,25.44,25.11
2007,Oct,24.05,24.53
2007,Nov,24.68,23.99
2007,Dec,26.35,27.11
2008,Jan,25.01,25.44
2008,Feb,26.12,26.97
2008,Mar,25.55,26.18
2008,Apr,27.19,27.76
2008,May,24.84,24.57
2008,Jun,23.65,23.29
2008,Jul,26.43,27.02
2008,Aug,27.21,26.85
2008,Sep,25.33,25.04
2008,Oct,24.22,24.46
2008,Nov,24.55,24.09
2008,Dec,26.22,27.05
2009,Jan,25.33,25.88
2009,Feb,26.42,27.21
2009,Mar,25.68,26.45
2009,Apr,27.08,27.83
2009,May,24.78,24.63
2009,Jun,23.89,23.62
2009,Jul,26.52,27.09
2009,Aug,27.38,27.19
2009,Sep,25.18,25.02
2009,Oct,24.31,24.44
2009,Nov,24.63,24.15
2009,Dec,26.39,27.08
2010,Jan,25.12,25.65
2010,Feb,26.29,27.02
2010,Mar,25.74,26.28
2010,Apr,27.11,27.89
2010,May,24.67,24.51
2010,Jun,23.72,23.48
2010,Jul,26.39,26.94
2010,Aug,27.15,26.82
2010,Sep,25.37,25.18
2010,Oct,24.15,24.38
2010,Nov,24.48,24.07
2010,Dec,26.24,27.02
2011,Jan,25.19,25.71
2011,Feb,26.35,27.11
2011,Mar,25.82,26.47
2011,Apr,27.23,27.99
2011,May,24.75,24.62
2011,Jun,23.84,23.56
2011,Jul,26.48,27.06
2011,Aug,27.29,27.14
2011,Sep,25.22,25.07
2011,Oct,24.27,24.42
2011,Nov,24.59,24.12
2011,Dec,26.33,27.06
2012,Jan,24.75,25.68
2012,Feb,25.98,26.75
2012,Mar,26.41,27.12
2012,Apr,27.22,27.91
2012,May,25.15,24.99
2012,Jun,23.88,23.45
2012,Jul,26.33,27.02
2012,Aug,27.01,26.75
2012,Sep,25.62,25.19
2012,Oct,24.28,24.52
2012,Nov,24.85,24.09
2012,Dec,26.39,27.21
2013,Jan,25.01,25.78
2013,Feb,26.23,27.01
2013,Mar,25.92,26.45
2013,Apr,27.15,27.83
2013,May,24.95,24.79
2013,Jun,23.71,23.58
2013,Jul,26.41,27.11
2013,Aug,27.24,26.92
2013,Sep,25.34,25.06
2013,Oct,24.31,24.47
2013,Nov,24.72,24.05
2013,Dec,26.22,27.08
2014,Jan,24.92,25.65
2014,Feb,26.35,27.19
2014,Mar,25.88,26.32
2014,Apr,27.04,27.74
2014,May,24.78,24.61
2014,Jun,23.82,23.49
2014,Jul,26.53,27.15
2014,Aug,27.35,27.05
2014,Sep,25.21,25.08
2014,Oct,24.42,24.53
2014,Nov,24.68,24.12
2014,Dec,26.39,27.02
2015,Jan,25.08,25.73
2015,Feb,26.42,27.11
2015,Mar,25.74,26.48
2015,Apr,27.19,27.91
2015,May,24.88,24.72
2015,Jun,23.93,23.65
2015,Jul,26.45,27.22
2015,Aug,27.12,26.99
2015,Sep,25.36,25.18
2015,Oct,24.19,24.41
2015,Nov,24.56,24.08
2015,Dec,26.28,27.15
2016,Jan,25.13,25.82
2016,Feb,26.27,27.05
2016,Mar,25.91,26.29
2016,Apr,27.05,27.78
2016,May,24.79,24.63
2016,Jun,23.85,23.52
2016,Jul,26.49,27.18
2016,Aug,27.29,27.01
2016,Sep,25.28,25.14
2016,Oct,24.36,24.48
2016,Nov,24.62,24.11
2016,Dec,26.33,27.09
2017,Jan,25.17,25.74
2017,Feb,26.38,27.14
2017,Mar,25.79,26.37
2017,Apr,27.12,27.85
2017,May,24.86,24.69
2017,Jun,23.81,23.57
2017,Jul,26.42,27.19
2017,Aug,27.21,26.94
2017,Sep,25.31,25.09
2017,Oct,24.25,24.44
2017,Nov,24.58,24.07
2017,Dec,26.31,27.06
2018,Jan,25.14,25.69
2018,Feb,26.29,27.08
2018,Mar,25.92,26.41
2018,Apr,27.07,27.89
2018,May,24.82,24.65
2018,Jun,23.89,23.59
2018,Jul,26.46,27.15
2018,Aug,27.25,27.02
2018,Sep,25.35,25.12
2018,Oct,24.28,24.46
2018,Nov,24.61,24.1
2018,Dec,26.37,27.08
2019,Jan,25.18,25.76
2019,Feb,26.34,27.13
2019,Mar,25.84,26.39
2019,Apr,27.15,27.92
2019,May,24.89,24.71
2019,Jun,23.94,23.66
2019,Jul,26.51,27.24
2019,Aug,27.37,27.11
2019,Sep,25.4,25.17
2019,Oct,24.35,24.51
2019,Nov,24.67,24.13
2019,Dec,26.43,27.11
